gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
AC004687.1	1.11464068212394e-07	0.275653608096415	0.352	0.207	0.00407969636064185	245	0.660432205235212	1.1269975757326	1.54573084079698	2.01459974735579	3.0228775895135	1.61280486422419	0.548692049059834	697	50	0.636323589319465	1.0781074563807	1.3322924203507	1.66200281472335	2.94453372099503	1.42483700077447	0.470087789670712	242
ADGRG1	1.14639179557475e-18	0.423142253333142	0.3	0.091	4.19590861098313e-14	209	0.645417389795651	1.14522971607237	1.66113846020178	2.17202639373152	3.35425633554896	1.70473949616589	0.609735689107763	697	22	0.754063096651859	1.02461879926998	1.22199247926092	1.55332694264181	2.66382902245584	1.39737066057393	0.529867721192914	242
AKNA	3.47703137275008e-24	0.509577041383303	0.722	0.471	1.27262825274026e-19	503	0.610562818601218	1.41943823497563	1.95922753715815	2.62422563910143	3.86097447912406	2.02864417470286	0.747233343586346	697	114	0.752872925911363	1.15451872222323	1.43973472162467	1.90108308640178	3.28740123315937	1.55131223765758	0.501602867225505	242
AOAH	4.52766175826402e-17	0.340728067216179	0.234	0.05	1.65716948014222e-12	163	0.773971485696695	1.10654399867191	1.42193864036237	1.8704742481495	2.81164214829135	1.52056860447591	0.474068373398552	697	12	0.901403582437125	1.08126746881518	1.295289744935	1.80749666916184	2.30836545590955	1.4205213281074	0.462863663005457	242
APMAP	2.40661189343507e-09	0.283058432721921	0.346	0.182	8.80844019116171e-05	241	0.610562818601218	1.03398516467666	1.39635305814245	1.78884874323438	2.91765249663006	1.46738289166135	0.494077437989612	697	44	0.828619985063292	1.05688168082464	1.27360628312535	1.55270131317396	2.08857302050022	1.31356596668857	0.326235225915817	242
ARIH1	2.66497568863334e-08	0.272372521991894	0.29	0.145	0.00097540775179669	202	0.591616612939957	1.08779709488248	1.45178431595661	1.97030160217947	3.73488179322189	1.54994142232565	0.546475903855863	697	35	0.636323589319465	1.0432843826505	1.16020287636447	1.64995731841823	2.70842361410132	1.38195850438789	0.495302262156602	242
ATP8A1	5.16691444832978e-08	0.261341119872523	0.297	0.157	0.00189114235723318	207	0.591616612939957	1.04481337458395	1.41848813100786	1.90302363886447	3.91321607920519	1.51670416063503	0.553030228115279	697	38	0.754063096651859	1.06410835100195	1.22614694602987	1.62399538746766	2.35882780460746	1.33813756038834	0.390195317826841	242
AUTS2	1.33656540960722e-18	0.400290279251024	0.296	0.087	4.89196305570338e-14	206	0.645417389795651	1.10816950234821	1.54452036905801	1.99130826597491	3.20043730501207	1.60337490322891	0.561688628839587	697	21	0.752872925911363	1.0018247702185	1.13581752018379	1.76940552486589	2.07979162045113	1.3456166752909	0.452757831314789	242
BHLHE40	5.71648548377472e-10	0.336079114420698	0.461	0.289	2.09229085191638e-05	321	0.591616612939957	1.30307736279335	1.73814201863294	2.17617116813839	3.37583128432807	1.76763356867636	0.563721648009978	697	70	0.754063096651859	1.08844986783152	1.41783661404209	1.90132525334375	2.93604666211198	1.51109871436045	0.498593876439704	242
BTN3A2	8.1851229403797e-07	0.250782271651263	0.372	0.219	0.0299583684740837	259	0.591616612939957	1.08871183735638	1.4297439776322	1.83225633878616	3.09948132200418	1.50646777688201	0.499171625181986	697	53	0.636323589319465	1.06410835100195	1.36536507838226	1.7272826174809	2.24069181713327	1.41963889392747	0.427374624190868	242
C1orf21	2.43691613154691e-13	0.342173992933226	0.317	0.112	8.91935673307485e-09	221	0.775232716324986	1.08105878582338	1.42636947761871	1.80246418702726	2.8354750422356	1.48930663881003	0.45328019987172	697	27	0.754063096651859	1.08623516771192	1.57392569303943	1.70814376652248	2.42562348177185	1.44628698703421	0.434508884019965	242
