gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
ABCA1	6.87137538751768e-40	0.635766802623984	0.523	0.061	2.51499210558535e-35	238	0.363748228394133	0.711066690680631	1.06512242117213	1.56183099821669	2.92346442748101	1.21615254989037	0.644633137751906	455	8	0.489458598593586	0.568462519619669	0.844243011553712	1.15756157785896	1.31541077985883	0.868175449564636	0.334163860909517	131
ABHD17C	4.25507276101659e-14	0.263669793213377	0.246	0.046	1.55739918125968e-09	112	0.331562759144625	0.594259261867229	0.919620065455379	1.30654501780049	2.71597261268734	0.983969353333666	0.473907809640157	455	6	0.582188699344729	0.592880572209346	0.752147493127457	0.875538743304434	0.993075510529814	0.757996418607206	0.160107565838926	131
AC016831.1	2.50940194078084e-14	0.290265127009007	0.246	0.053	9.18466204345196e-10	112	0.34022838088135	0.556340649824552	0.847173564798678	1.4217764086576	2.99000295557837	1.0823460562714	0.630983227471679	455	7	0.514830790132856	0.580568256042033	0.623409275797992	0.759841078182127	0.847183590996992	0.666606046482309	0.127676607553557	131
ADM	5.52456435515636e-08	0.256638933963161	0.33	0.122	0.00202204579963078	150	0.281486063717081	0.56136782660598	0.956614249277764	1.34563904304701	2.76512042763226	1.01205319108761	0.486010055791862	455	16	0.398151294673874	0.633348421760014	0.864241076930291	1.29864157480113	1.50031631752831	0.952268205104101	0.360104896798798	131
AGO2	9.82594042395729e-13	0.420584812817745	0.571	0.29	3.59639245457261e-08	260	0.331562759144625	0.762013388788365	1.1446724795557	1.72706267553146	3.43350345834568	1.26985334813674	0.636439461324767	455	38	0.398151294673874	0.639988456287535	0.839139024059403	1.26049501212322	2.26391595183489	0.997171986911113	0.477077123897775	131
AGPAT4	2.52183679449972e-11	0.297969234586501	0.286	0.084	9.23017485154841e-07	130	0.34022838088135	0.612298195853136	0.944698414201508	1.43046950616801	3.37856355483282	1.11222313419041	0.635322402503628	455	11	0.497889034374172	0.608073487584617	0.754540268793794	1.00727300564181	1.45983260753833	0.855979028289353	0.312144035337601	131
ANKRD12	7.95893740546352e-07	0.285499826133126	0.651	0.42	0.029130506797737	296	0.387934778703168	0.767390528272651	1.07956888211377	1.5202511195131	3.35781769306913	1.22091661940855	0.616649877382626	455	55	0.520253504281453	0.845205758453347	1.08988899782402	1.37515516227926	1.921954887492	1.12450203935311	0.354242422641441	131
ANTXR2	1.61282413075670e-10	0.298991148725227	0.367	0.16	5.90309760098258e-06	167	0.281486063717081	0.640417632287704	0.86251554535809	1.33535031954597	3.38061801559301	1.05823569941851	0.585449427172395	455	21	0.447012800242703	0.648407111909768	0.804184317318972	0.978958111693637	1.38434752411412	0.801758121619348	0.226487627322838	131
APOBEC3A	6.23874083457177e-14	-0.435178470316583	0.719	0.916	2.28344153286162e-09	327	0.331562759144625	1.3271395244239	1.91892288786547	2.44591716904979	3.80104052661651	1.90019892474731	0.773333689204743	455	120	0.398151294673874	1.89905921600171	2.49722644188398	3.06122627293401	3.9921976163585	2.40005817709197	0.829478926453598	131
APRT	1.60846839726419e-06	-0.273679315746526	0.554	0.702	0.0588715518082667	252	0.355525840134516	0.808973991810877	1.04310500602587	1.27964980527536	2.14693417019908	1.05587542828597	0.359495400522608	455	92	0.447012800242703	1.00772347205593	1.25930169324229	1.58544790521941	2.38146752139012	1.30406940059048	0.424600186907191	131
AQP9	3.11550436230508e-07	0.299141859617067	0.585	0.328	0.0114030575164728	266	0.357413629627218	0.80609962232228	1.15248952372952	1.50588830360057	2.76512042763226	1.18120911091931	0.476323783862848	455	43	0.459271515176396	0.88517295813347	1.03915158550878	1.37161543080957	2.37680123153569	1.13931236414014	0.392708679523286	131
AREG	6.34013627116112e-14	-0.678493904074993	0.385	0.687	2.32055327660768e-09	175	0.387599813273035	0.756527957609335	1.22891008542854	1.78732965664755	4.00434328005442	1.36206977921389	0.71954111789892	455	90	0.616818882985102	1.33508949448692	2.10235550254077	2.68752221119257	4.09250139894528	2.09441356395478	0.850259577391575	131
ARHGEF2	5.82629314157169e-08	0.284066334768207	0.51	0.252	0.00213248155274665	232	0.281486063717081	0.594259261867229	0.832516960025243	1.179894916447	3.51742506568749	0.981046775136924	0.544286383244291	455	33	0.447012800242703	0.644771220191493	0.861646143382298	1.12103842107813	1.66965677242715	0.921347032625726	0.34962171450298	131
ASH1L	4.37106186187778e-07	0.274542174663538	0.514	0.298	0.0159985235206588	234	0.331562759144625	0.624615851593434	0.900960629049398	1.32334384855899	2.5894812744593	1.04946671818571	0.548732547510506	455	39	0.447012800242703	0.600401041877644	0.86330752815175	1.13237275288034	2.45462540383969	0.916700077752226	0.404659210524514	131
ASPH	4.81535601719495e-08	0.305654546932329	0.409	0.176	0.00176246845585353	186	0.281486063717081	0.594987416087701	0.852648048469354	1.41242778525487	3.52272782637303	1.12400388480301	0.711092933705642	455	23	0.56341347936321	0.726336685609242	0.916981287799095	1.26759286382676	1.9072832175921	1.029951717062	0.383893014341322	131
ATP2B1-AS1	3.39714748065174e-17	-0.539068332303565	0.598	0.847	1.24338994939334e-12	272	0.40375577690327	0.835194944936249	1.3227389931226	1.84397426546237	3.02194811568488	1.3925271340778	0.639595328543458	455	111	0.883955351231219	1.44081405406751	1.92394980709506	2.44168231557354	3.92450066589707	1.96219154330482	0.63834557788523	131
ATP5F1D	2.46305490563138e-08	-0.270247226109724	0.741	0.863	0.000901502726010141	337	0.389679940838381	0.97124382357	1.24615074333993	1.55112663210599	3.01178629032515	1.28116704749319	0.454826202202546	455	113	0.54048881558955	1.20572565315335	1.53686035135621	1.87114247374408	2.79094220645737	1.56552149847871	0.481836540565245	131
ATP6V1B2	6.2146421988135e-06	0.260519274203092	0.719	0.489	0.227462119118773	327	0.357452366928186	0.784766523761735	1.15169973201894	1.53650257656069	3.85126679600707	1.21272570126963	0.533649814171169	455	64	0.398151294673874	0.764090653269993	1.07565258251347	1.45310441966933	2.53912739363407	1.15107542904035	0.467656139809957	131
ATXN1	1.29232021323794e-06	0.257838163179703	0.541	0.374	0.0473002121247219	246	0.331562759144625	0.65371976584607	0.955519995828898	1.37235788648286	3.27426242515206	1.10944969325712	0.608002673317939	455	49	0.459271515176396	0.682156302656588	0.816631904736509	1.10755833608975	1.52853411425372	0.903648136983243	0.286514267540448	131
AVL9	3.35501304030572e-09	0.292736135013935	0.347	0.137	0.000122796832288229	158	0.331562759144625	0.588356120731296	0.87686131705019	1.32974901546006	2.94028018300225	1.07324733146081	0.636862991662244	455	18	0.476151976063802	0.544044467029992	0.808923898472772	0.975547605290896	1.86879042316491	0.877679121963005	0.392084705571141	131
B4GALT5	1.33498253407652e-07	0.282407174561711	0.466	0.229	0.00488616957297345	212	0.34022838088135	0.724162936369368	0.993787252732946	1.29812082642166	2.27872692619724	1.03653148512962	0.409523731991423	455	30	0.398151294673874	0.607921511545942	0.772175554605294	1.24698953681699	1.90618529968292	0.95766473638393	0.459620431139596	131
