baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,gene_id
0.155044882130765,-0.85200425686014,4.40150637040921,-0.193571060714136,0.846511759771976,1,Double.KDKO vs Wildtype,snR14
7.40291025326589,-0.390676311741126,0.739955503560141,-0.527972708982458,0.597518277941319,1,Double.KDKO vs Wildtype,snR161
14.0792546305114,0.283068173660711,0.740247491362733,0.38239666728165,0.702167162016533,1,Double.KDKO vs Wildtype,snR17a
10.8197048953237,-0.393189211942132,0.799815831236582,-0.491599686560628,0.623002365061617,1,Double.KDKO vs Wildtype,snR17b
4.10138740095474,-0.515944359088746,0.940987750578157,-0.548300824077404,0.583485361648576,1,Double.KDKO vs Wildtype,snR18
3.10015338519251,0.0661142507830225,1.038411544919,0.0636686399592945,0.949234075752207,1,Double.KDKO vs Wildtype,snR189
2.69423038094042,-0.312895486848417,1.13351508207801,-0.276039985524325,0.782517354872919,1,Double.KDKO vs Wildtype,snR19
10.3086800293863,0.0766180499738724,0.977793375678556,0.0783581192915139,0.937543187018873,1,Double.KDKO vs Wildtype,snR190
6.27091317649712,-0.275123880654557,0.685129751298675,-0.401564638133222,0.688004458788169,1,Double.KDKO vs Wildtype,snR191
30.4307702972526,-0.390182848705474,0.483868114009569,-0.806382643138494,0.42002225172162,1,Double.KDKO vs Wildtype,snR24
0.933415036506082,-0.662642010254751,1.89906555746324,-0.348930560954358,0.727141441078278,1,Double.KDKO vs Wildtype,snR3
50.6095751805817,0.0181402665313619,0.446150636966065,0.0406595105516831,0.967567340783118,1,Double.KDKO vs Wildtype,snR30
81.9907160627484,0.164299632984567,0.4013075879705,0.409410731093986,0.682238265799564,1,Double.KDKO vs Wildtype,snR31
10.1536207891521,-0.163816200024757,0.697837198011362,-0.234748449196442,0.814403981244192,1,Double.KDKO vs Wildtype,snR32
58.050981956804,0.562328608824037,0.622104156145771,0.903913923848263,0.366041045379188,1,Double.KDKO vs Wildtype,snR33
6.78168178361649,0.88657243541139,0.720681219870144,1.23018667750373,0.218627207595819,1,Double.KDKO vs Wildtype,snR34
1.47372590293338,0.726615386087873,1.52942622356737,0.475090184077693,0.634722694627516,1,Double.KDKO vs Wildtype,snR35
9.39613379835785,-0.201209435039824,0.572107700116558,-0.351698526341859,0.725064365856659,1,Double.KDKO vs Wildtype,snR36
4.9932797195594,-1.00267181580067,0.810556288200453,-1.23701688630007,0.216080813630695,1,Double.KDKO vs Wildtype,snR37
6.23658186963152,0.337615960197574,0.721868684304375,0.467697196925666,0.640001145920976,1,Double.KDKO vs Wildtype,snR38
14.8481930591557,-0.182266147384936,0.619085535103472,-0.294411897952797,0.76844317633843,1,Double.KDKO vs Wildtype,snR39
1.03835842392809,0.354519176201919,1.72929060042541,0.205008444569528,0.837565527339924,1,Double.KDKO vs Wildtype,snR39B
16.3919791838996,-0.104782229625884,0.834852300277988,-0.125509901081897,0.900119887092016,1,Double.KDKO vs Wildtype,snR4
2.35124146422562,0.479878853700731,1.07933265491493,0.444606999997191,0.656603787907912,1,Double.KDKO vs Wildtype,snR40
61.1074475950998,0.114132437847101,0.379566315657772,0.300691692436707,0.763649604266737,1,Double.KDKO vs Wildtype,snR41
6.84734034199535,0.247669953527879,0.737115778511041,0.335998713835929,0.736871836360455,1,Double.KDKO vs Wildtype,snR42
11.978561553272,0.334347926155467,0.676709012116355,0.494079316469895,0.621250164634219,1,Double.KDKO vs Wildtype,snR43
117.055694677517,-0.100835469290538,0.296101339836384,-0.340543779188087,0.733447059657253,1,Double.KDKO vs Wildtype,snR44
0.419751869139457,-1.06947812009493,3.84566903426866,-0.278099365952931,0.780936082446112,1,Double.KDKO vs Wildtype,snR45
39.4376443762891,-0.42147880764491,0.461026062235654,-0.914219047836542,0.360601757283761,1,Double.KDKO vs Wildtype,snR46
5.22459799311268,-0.481146498646616,0.798485789316374,-0.602573652636387,0.546792352260035,1,Double.KDKO vs Wildtype,snR47
1.348175861999,-0.352791357544914,1.346087969736,-0.262086405552011,0.793254827356674,1,Double.KDKO vs Wildtype,snR48
4.41388776541462,0.271621213146157,0.88641231111593,0.306427618095924,0.75927908287551,1,Double.KDKO vs Wildtype,snR49
43.4964569902244,-0.0476195736916837,0.408161306180862,-0.116668515536803,0.907122740810745,1,Double.KDKO vs Wildtype,snR5
17.7208823512303,0.00261394270485144,0.868795062427286,0.00300869884958653,0.997599409261609,1,Double.KDKO vs Wildtype,snR50
13.109005092377,0.47385180718977,1.0371647477324,0.456872264725325,0.64776286028316,1,Double.KDKO vs Wildtype,snR51
0.754103444691074,-0.221034503199259,1.8370415236439,-0.120320907477814,0.904228942654253,1,Double.KDKO vs Wildtype,snR52
0.0850055085578508,-0.852013598263168,4.40150637041344,-0.193573183033503,0.846510097836129,1,Double.KDKO vs Wildtype,snR53
4.09535947267459,-0.883698106897611,0.861524835909462,-1.0257372394433,0.305015456046713,1,Double.KDKO vs Wildtype,snR54
4.7442736972376,-0.35296711614358,0.813361464798595,-0.433960952687845,0.664316796330004,1,Double.KDKO vs Wildtype,snR55
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,snR56
0.96990205630954,-0.780977713749535,2.1335624404403,-0.366043992407536,0.714332248955359,1,Double.KDKO vs Wildtype,snR57
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,snR58
1.58048486762427,-0.929738382581413,1.47936616231499,-0.628470764213309,0.529695592869934,1,Double.KDKO vs Wildtype,snR59
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,snR6
1.85638882936091,-0.113782500998859,1.31863770885724,-0.0862879168664644,0.931237543593534,1,Double.KDKO vs Wildtype,snR60
6.56291907614915,0.319395765077624,0.834425041212065,0.382773465922928,0.701887737018717,1,Double.KDKO vs Wildtype,snR61
0.771719029065927,1.73678927075709,2.45649697785753,0.707018688161325,0.4795548642917,1,Double.KDKO vs Wildtype,snR62
3.61551711423269,0.913076980861285,1.19385912511883,0.764811326269677,0.444383902325389,1,Double.KDKO vs Wildtype,snR63
0.197609875042978,-0.777893376756861,4.40401074709171,-0.176632942431069,0.859796716594422,1,Double.KDKO vs Wildtype,snR64
0.0582062473947181,1.11999474501816,4.40735632396697,0.254119400087459,0.799403316112734,1,Double.KDKO vs Wildtype,snR65
