baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,gene_id
30.43077,0.0,0.48386812,-0.80638266,0.42002225,1.0,Double.KDKO vs Wildtype,snR24
0.93341506,0.0,1.8990656,-0.34893057,0.72714144,1.0,Double.KDKO vs Wildtype,snR3
50.609573,0.0,0.44615063,0.04065951,0.9675673,1.0,Double.KDKO vs Wildtype,snR30
81.990715,0.0,0.40130758,0.40941074,0.6822383,1.0,Double.KDKO vs Wildtype,snR31
10.153621,0.0,0.6978372,-0.23474845,0.814404,1.0,Double.KDKO vs Wildtype,snR32
58.050983,0.0,0.62210417,0.9039139,0.36604103,1.0,Double.KDKO vs Wildtype,snR33
6.781682,0.0,0.7206812,1.2301867,0.21862721,1.0,Double.KDKO vs Wildtype,snR34
1.4737259,0.0,1.5294262,0.47509018,0.6347227,1.0,Double.KDKO vs Wildtype,snR35
9.396133,0.0,0.5721077,-0.35169852,0.72506434,1.0,Double.KDKO vs Wildtype,snR36
4.99328,0.0,0.8105563,-1.2370169,0.21608081,1.0,Double.KDKO vs Wildtype,snR37
6.236582,0.0,0.7218687,0.4676972,0.6400011,1.0,Double.KDKO vs Wildtype,snR38
14.848193,0.0,0.61908555,-0.2944119,0.76844317,1.0,Double.KDKO vs Wildtype,snR39
1.0383584,0.0,1.7292906,0.20500845,0.83756554,1.0,Double.KDKO vs Wildtype,snR39B
16.39198,0.0,0.8348523,-0.1255099,0.9001199,1.0,Double.KDKO vs Wildtype,snR4
2.3512414,0.0,1.0793327,0.444607,0.6566038,1.0,Double.KDKO vs Wildtype,snR40
61.10745,0.0,0.3795663,0.3006917,0.7636496,1.0,Double.KDKO vs Wildtype,snR41
6.84734,0.0,0.7371158,0.3359987,0.73687184,1.0,Double.KDKO vs Wildtype,snR42
11.978561,0.0,0.676709,0.49407932,0.62125015,1.0,Double.KDKO vs Wildtype,snR43
117.055695,0.0,0.29610133,-0.34054378,0.7334471,1.0,Double.KDKO vs Wildtype,snR44
0.41975188,0.0,3.845669,-0.27809936,0.78093606,1.0,Double.KDKO vs Wildtype,snR45
39.437645,0.0,0.46102607,-0.914219,0.36060175,1.0,Double.KDKO vs Wildtype,snR46
5.224598,0.0,0.7984858,-0.60257363,0.5467923,1.0,Double.KDKO vs Wildtype,snR47
1.3481759,0.0,1.3460879,-0.2620864,0.79325485,1.0,Double.KDKO vs Wildtype,snR48
4.413888,0.0,0.8864123,0.30642763,0.7592791,1.0,Double.KDKO vs Wildtype,snR49
43.496456,0.0,0.4081613,-0.116668515,0.90712273,1.0,Double.KDKO vs Wildtype,snR5
17.720882,0.0,0.86879504,0.0030086988,0.9975994,1.0,Double.KDKO vs Wildtype,snR50
13.109005,0.0,1.0371648,0.45687225,0.64776284,1.0,Double.KDKO vs Wildtype,snR51
0.7541034,0.0,1.8370415,-0.12032091,0.9042289,1.0,Double.KDKO vs Wildtype,snR52
0.08500551,0.0,4.4015064,-0.19357318,0.8465101,1.0,Double.KDKO vs Wildtype,snR53
4.0953593,0.0,0.8615248,-1.0257373,0.30501544,1.0,Double.KDKO vs Wildtype,snR54
4.7442737,0.0,0.81336147,-0.43396094,0.6643168,1.0,Double.KDKO vs Wildtype,snR55
0.0,0.0,,,,,Double.KDKO vs Wildtype,snR56
0.96990204,0.0,2.1335623,-0.36604398,0.7143322,1.0,Double.KDKO vs Wildtype,snR57
0.0,0.0,,,,,Double.KDKO vs Wildtype,snR58
1.5804849,0.0,1.4793662,-0.6284708,0.5296956,1.0,Double.KDKO vs Wildtype,snR59
0.0,0.0,,,,,Double.KDKO vs Wildtype,snR6
1.8563888,0.0,1.3186377,-0.086287916,0.9312375,1.0,Double.KDKO vs Wildtype,snR60
6.562919,0.0,0.83442503,0.38277346,0.7018877,1.0,Double.KDKO vs Wildtype,snR61
0.77171904,0.0,2.456497,0.7070187,0.47955486,1.0,Double.KDKO vs Wildtype,snR62
3.6155171,0.0,1.1938591,0.76481134,0.4443839,1.0,Double.KDKO vs Wildtype,snR63
0.19760987,0.0,4.404011,-0.17663294,0.8597967,1.0,Double.KDKO vs Wildtype,snR64
0.05820625,0.0,4.4073563,0.2541194,0.7994033,1.0,Double.KDKO vs Wildtype,snR65
1.2105842,0.0,1.7469096,-0.0425523,0.96605843,1.0,Double.KDKO vs Wildtype,snR66
1.3119352,0.0,1.419316,0.5189617,0.6037874,1.0,Double.KDKO vs Wildtype,snR67
0.22449672,0.0,4.4073563,0.25412363,0.79940003,1.0,Double.KDKO vs Wildtype,snR68
0.3075943,0.0,4.1348886,0.02689302,0.97854507,1.0,Double.KDKO vs Wildtype,snR69
0.0,0.0,,,,,Double.KDKO vs Wildtype,snR7-L
0.0,0.0,,,,,Double.KDKO vs Wildtype,snR7-S
12.311745,0.0,0.75312275,-0.25873643,0.7958386,1.0,Double.KDKO vs Wildtype,snR70
1.4721164,0.0,2.044798,0.002630183,0.99790144,1.0,Double.KDKO vs Wildtype,snR71
0.05820625,0.0,4.4073563,0.2541194,0.7994033,1.0,Double.KDKO vs Wildtype,snR72
0.0,0.0,,,,,Double.KDKO vs Wildtype,snR73
0.201418,0.0,4.380937,0.15758081,0.87478715,1.0,Double.KDKO vs Wildtype,snR74
10.301425,0.0,0.9403616,1.4350629,0.15126918,1.0,Double.KDKO vs Wildtype,snR75
1.2810773,0.0,1.5718688,-0.7562271,0.44951305,1.0,Double.KDKO vs Wildtype,snR76
