	37_10_Double.KDKO_r1	37_10_MSN24.KO_r3	37_10_MSN24.KO_r1	37_10_Double.KDKO_r3	37_10_MSN24.KO_r2	37_10_Double.KDKO_r2	37_10_HSF1.KD_r1	37_10_Wildtype_r3	37_10_Wildtype_r1	37_10_HSF1.KD_r3	37_10_Wildtype_r2	37_10_HSF1.KD_r2
YKL022C	297	423	237	484	279	344	229	125	99	196	152	426
YKL023C-A	225	211	206	398	200	310	243	117	115	177	116	338
YKL023W	256	273	213	247	212	216	522	232	203	279	231	631
YKL024C	1399	919	990	1241	887	1103	1396	177	398	780	325	1645
YKL025C	784	796	1078	1000	1000	965	2356	2638	1053	1297	771	2173
YKL026C	24	52	36	20	16	14	142	135	71	266	188	770
YKL027W	321	119	162	285	111	217	225	49	94	197	51	307
YKL028W	196	235	145	269	138	207	145	41	59	107	71	254
YKL029C	1502	319	617	911	545	1179	1704	540	449	437	273	922
YKL030W	0	0	0	0	0	0	0	0	0	0	0	0
YKL031W	15	6	14	11	12	12	37	8	13	15	5	26
YKL032C	1380	864	1882	1295	1539	1563	3756	4711	1642	1591	1410	2963
YKL033W	144	150	98	230	89	130	88	38	37	72	16	139
YKL033W-A	346	589	367	620	308	245	241	37	81	288	100	406
YKL034W	942	894	1492	870	1203	859	1833	2705	1050	1459	554	1569
YKL035W	2882	3454	4772	3530	3538	2760	31008	37195	21966	34220	17320	42737
YKL036C	2	3	0	3	5	1	10	0	0	2	0	1
YKL037W	6	8	10	2	22	13	162	177	118	218	104	168
YKL038W	1524	846	1623	1477	1456	1864	3079	2462	1554	1832	1193	2899
YKL039W	1506	2020	1787	2827	1354	1615	1759	1695	899	2034	902	2682
YKL040C	87	175	64	158	69	52	47	14	13	34	13	74
YKL041W	25	67	10	45	16	17	28	6	11	13	14	40
YKL042W	283	320	250	302	244	281	323	327	135	127	163	336
YKL043W	2635	1380	3469	2421	2928	3657	1744	1881	1077	750	440	689
YKL044W	586	297	913	503	827	916	367	253	198	158	99	119
YKL045W	148	205	114	158	99	104	90	29	42	64	45	131
YKL046C	1186	866	1170	1201	990	781	826	149	360	838	284	1079
YKL047W	121	152	93	234	86	103	72	40	31	63	10	121
YKL048C	110	121	84	140	80	92	115	36	34	45	49	128
YKL049C	16	55	19	17	17	11	11	6	5	7	7	17
YKL050C	98	78	69	79	50	50	69	19	27	35	33	89
YKL051W	900	374	693	1103	464	717	4225	4925	1519	3361	1287	4233
YKL052C	247	255	235	239	227	129	187	42	99	176	96	314
YKL053C-A	66	124	65	123	63	48	88	21	25	66	56	211
YKL053W	23	2	18	12	8	13	26	7	8	7	13	14
YKL054C	1058	768	893	1077	803	1167	2039	2741	956	1022	965	2100
YKL055C	97	46	60	80	35	33	34	22	13	23	22	85
YKL056C	2328	3698	2652	5667	1868	1822	1563	378	795	1969	889	2722
YKL057C	654	693	642	1350	603	972	915	735	452	702	255	900
YKL058W	343	596	389	583	292	268	157	204	85	215	172	574
YKL059C	605	584	666	523	640	637	694	446	370	370	411	950
YKL060C	93721	74721	124200	83280	96868	89567	83585	78681	55518	66976	51304	126411
YKL061W	30	40	14	59	18	25	7	1	3	8	4	20
YKL062W	0	0	0	0	0	9	2958	3467	885	1731	1211	3454
YKL063C	315	532	249	474	263	348	297	173	156	185	136	606
YKL064W	406	387	404	619	381	511	951	972	490	839	416	1353
YKL065C	300	640	352	569	337	238	524	500	263	511	334	1069
YKL065W-A	0	3	0	1	0	0	0	0	0	3	0	0
YKL066W	128	46	49	54	67	59	198	66	101	169	8	164
YKL067W	233	363	196	405	166	135	228	122	100	445	171	835
YKL068W	1391	566	913	1300	780	1426	1484	569	499	530	391	1386
YKL068W-A	5	19	4	22	4	5	13	3	2	3	7	8
YKL069W	326	583	258	460	307	286	202	50	90	168	151	521
YKL070W	3	40	36	1	46	6	12	21	16	8	3	14
YKL071W	19	17	19	35	7	14	12	13	6	9	11	21
YKL072W	80	193	114	111	114	94	37	65	53	21	18	55
YKL073W	1708	733	939	1077	917	1246	1327	230	363	655	248	1194
YKL074C	344	176	122	277	140	234	168	44	42	125	61	276
YKL075C	81	108	56	111	44	68	40	29	12	30	10	75
YKL076C	7	7	1	7	0	3	0	0	1	5	0	3
YKL077W	862	830	820	1229	678	935	1065	1161	609	908	435	1415
YKL078W	13	4	4	10	6	2	6	0	2	2	1	7
YKL079W	130	200	115	204	106	89	121	129	61	85	130	318
YKL080W	2979	3501	3883	4317	3430	3364	3763	2975	2027	3211	1208	4614
