	37_10_Double.KDKO_r1	37_10_MSN24.KO_r3	37_10_MSN24.KO_r1	37_10_Double.KDKO_r3	37_10_MSN24.KO_r2	37_10_Double.KDKO_r2	37_10_HSF1.KD_r1	37_10_Wildtype_r3	37_10_Wildtype_r1	37_10_HSF1.KD_r3	37_10_Wildtype_r2	37_10_HSF1.KD_r2
15S_rRNA	7	3	1	2	1	2	2	1	2	0	1	1
21S_rRNA	29	26	33	20	20	25	12	29	28	15	12	34
HRA1	2	0	1	3	2	1	1	0	1	1	3	0
ICR1	336	223	364	370	248	316	953	1173	459	644	293	818
LSR1	12	4	10	2	5	6	13	7	7	6	1	10
NME1	28	29	26	45	26	33	27	10	12	18	6	26
PWR1	4	0	1	2	1	6	3	2	4	0	0	2
Q0010	0	0	0	0	0	0	0	0	0	0	0	0
Q0017	0	0	0	0	0	0	0	0	0	0	0	0
Q0032	0	0	0	0	0	0	0	0	0	0	0	0
Q0045	3	1	4	1	0	0	0	3	0	1	0	0
Q0050	2	0	3	1	1	2	4	3	2	3	0	4
Q0055	4	0	5	1	2	6	1	0	2	1	1	4
Q0060	0	0	0	0	0	0	0	0	0	0	0	0
Q0065	0	1	0	0	0	0	0	1	1	0	0	0
Q0070	0	0	0	0	0	0	0	0	0	0	0	0
Q0075	2	0	2	1	0	1	2	3	1	2	0	1
Q0080	0	0	0	0	0	0	0	0	0	0	0	0
Q0085	0	0	0	0	0	0	0	0	0	0	1	0
Q0092	0	0	0	0	0	0	0	0	0	0	0	0
Q0105	1	0	1	0	1	0	0	0	2	2	1	3
Q0110	0	0	0	0	0	0	0	0	0	0	0	0
Q0115	0	3	0	0	0	0	0	0	1	0	0	0
Q0120	0	0	1	1	0	0	0	0	0	0	0	0
Q0130	0	0	0	0	0	0	0	0	0	0	0	0
Q0140	0	0	0	0	0	0	0	0	0	0	0	0
Q0142	0	0	0	0	0	0	0	0	0	0	0	0
Q0143	0	0	0	0	0	0	0	0	0	0	0	0
Q0144	0	0	0	0	0	0	0	0	0	0	0	0
Q0160	0	0	0	0	0	0	0	0	0	0	0	0
Q0182	0	0	0	0	0	0	0	0	0	0	0	0
Q0250	1	0	0	0	0	0	0	0	0	0	0	0
Q0255	1	1	0	0	1	0	0	0	0	0	0	0
Q0275	2	2	5	3	1	3	0	2	0	1	0	2
Q0297	0	0	0	0	0	0	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN37-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-6	0	0	0	0	0	0	0	0	0	0	0	0
RDN58-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0	0	0	0	0	0	0
RNA170	3	1	1	1	3	4	0	0	0	0	1	2
RPM1	2	0	0	0	0	0	0	0	0	0	0	0
RPR1	146	45	70	88	69	97	117	4	31	87	8	91
RUF20	6	7	2	10	0	0	1	0	0	0	0	1
RUF21	0	0	0	1	0	0	0	2	1	1	0	3
RUF22	0	0	0	0	0	0	0	0	0	0	0	0
RUF23	2	0	0	0	0	1	0	0	0	1	0	0
RUF5-1	0	0	0	0	0	0	0	0	0	0	0	0
RUF5-2	0	0	0	0	0	0	0	0	0	0	0	0
SCR1	292	44	179	107	126	127	203	34	114	135	24	120
snR10	19	18	10	6	8	9	12	2	11	8	1	8
snR11	2	8	3	9	3	1	1	1	1	2	0	4
snR128	4	1	9	1	6	3	9	2	3	7	1	4
snR13	0	0	0	0	1	0	0	0	0	0	1	0
snR14	0	1	0	0	0	0	0	0	0	0	0	0
snR161	15	3	13	3	5	5	14	5	5	9	4	7
snR17a	31	9	31	13	17	24	46	7	21	14	2	17
snR17b	11	0	10	2	1	3	24	1	13	3	0	2
snR18	8	3	9	1	6	1	4	4	5	1	2	4
snR189	2	3	3	3	2	2	0	0	1	1	1	2
snR19	11	1	4	5	1	5	2	1	0	2	0	0
snR190	21	3	29	6	5	2	34	1	23	7	1	6
snR191	3	1	4	2	2	4	1	0	0	2	0	4
snR24	17	5	5	12	6	15	11	4	2	8	0	6
snR3	0	0	1	1	2	0	0	0	1	2	0	0
snR30	76	54	58	43	39	23	54	4	16	31	9	33
snR31	74	48	33	131	41	63	35	15	14	60	26	134
snR32	8	1	21	4	7	0	11	0	6	3	1	3
snR33	44	104	31	193	21	21	16	0	4	17	8	18
snR34	4	8	9	6	4	3	5	0	2	3	3	7
snR35	2	0	2	0	2	1	0	0	2	0	1	2
snR36	8	8	7	10	2	4	9	0	5	1	1	10
snR37	8	9	9	6	4	7	7	1	4	3	0	6
snR38	0	1	0	6	0	3	6	0	0	1	1	2
snR39	9	6	6	9	3	21	15	11	3	2	1	11
snR39B	2	0	0	1	1	0	0	0	1	0	1	0
snR4	11	40	9	106	7	21	9	3	0	13	3	16
snR40	8	10	6	6	5	5	3	3	2	8	1	9
snR41	65	89	75	121	69	66	42	20	21	44	13	59
snR42	15	5	5	10	10	9	7	3	2	1	0	5
snR43	14	11	13	8	10	9	11	2	7	4	4	6
snR44	52	36	45	62	42	58	26	45	12	37	18	69
snR45	0	1	2	5	1	1	2	0	0	2	0	2
snR46	52	16	38	21	26	20	41	1	17	29	2	27
snR47	6	5	10	15	8	11	13	15	4	10	1	14
snR48	2	2	2	3	1	2	0	0	0	0	0	1
snR49	1	14	2	15	1	1	2	0	1	5	0	0
snR5	43	69	42	100	24	53	39	19	23	42	7	74
snR50	5	26	2	30	4	3	2	0	0	7	4	12
snR51	32	18	19	28	15	20	26	0	6	11	0	6
snR52	4	2	4	3	2	0	6	0	1	4	0	4
snR53	0	0	0	0	0	0	0	0	0	0	0	0
snR54	2	1	2	0	0	5	2	0	0	1	0	3
snR55	31	53	34	39	23	31	8	2	8	19	4	22
snR56	0	1	0	0	0	0	0	0	0	0	0	0
snR57	3	13	3	15	2	2	0	0	0	1	1	7
snR58	0	0	0	0	0	0	0	0	0	0	0	0
snR59	1	1	2	1	0	0	2	3	0	0	0	2
snR6	0	1	1	0	0	0	0	0	0	1	0	0
snR60	2	5	3	5	3	2	0	1	0	0	1	2
snR61	22	33	42	42	26	30	16	6	12	26	5	33
snR62	4	8	3	3	0	0	2	0	0	1	0	1
snR63	7	14	2	18	3	1	1	0	0	1	0	3
snR64	0	0	0	0	0	0	0	1	1	1	0	0
snR65	0	0	0	0	0	0	0	0	0	0	0	0
snR66	11	2	7	1	8	6	6	0	1	6	0	2
snR67	6	4	0	4	3	5	1	2	0	1	1	4
snR68	0	0	0	0	0	0	0	0	0	0	0	0
snR69	0	0	2	0	2	0	1	0	0	1	0	1
snR7-L	0	0	0	0	0	0	0	0	0	0	0	0
snR7-S	0	0	0	0	0	0	0	0	0	0	0	0
snR70	11	20	17	36	14	9	5	1	3	10	2	17
snR71	8	3	8	2	0	3	3	0	0	5	1	2
snR72	0	0	0	0	0	0	0	0	0	0	0	0
snR73	0	0	0	0	0	0	0	0	0	0	0	0
snR74	0	1	1	1	0	0	0	0	0	1	0	1
snR75	31	44	17	59	20	23	8	1	0	9	1	17
snR76	3	0	2	2	4	3	0	2	0	0	1	2
snR77	12	15	13	10	13	16	4	1	6	4	8	8
snR78	0	0	0	0	0	0	0	0	0	1	0	0
snR79	0	1	1	0	0	1	1	0	0	1	0	0
snR8	8	4	13	1	6	7	5	3	3	4	1	2
snR80	1	0	0	2	1	1	1	1	0	1	0	1
snR81	9	2	10	1	4	1	10	0	0	3	2	1
snR82	7	8	17	19	10	13	15	1	11	11	0	12
snR83	25	7	13	9	6	8	46	14	13	13	4	15
snR84	35	8	5	50	8	27	5	4	0	9	0	10
snR85	8	3	8	2	1	0	7	4	1	4	0	2
snR86	48	11	27	7	23	20	28	5	22	19	7	16
snR87	0	1	2	4	0	0	0	0	0	0	0	0
snR9	3	11	7	7	3	2	8	3	5	6	1	7
SRG1	586	687	381	725	342	390	667	134	160	330	91	616
tA(AGC)D	0	0	0	0	0	0	0	0	0	0	0	0
tA(AGC)F	0	0	0	0	0	0	0	0	0	0	0	0
tA(AGC)G	0	0	0	0	0	0	0	0	0	0	0	0
tA(AGC)H	0	0	0	0	0	0	0	0	0	0	0	0
tA(AGC)J	0	0	0	0	0	0	0	0	0	0	0	0
tA(AGC)K1	0	0	0	0	0	0	0	0	0	0	0	0
tA(AGC)K2	0	0	0	0	0	0	0	0	0	0	0	0
tA(AGC)L	0	0	0	0	0	0	0	0	0	0	0	0
tA(AGC)M1	0	0	0	0	0	0	0	0	0	0	0	0
tA(AGC)M2	0	0	0	0	0	0	0	0	0	0	0	0
tA(AGC)P	0	0	0	0	0	0	0	0	0	0	0	0
tA(UGC)A	0	0	0	0	0	0	0	0	0	0	0	0
tA(UGC)E	0	0	0	0	0	0	0	0	0	0	0	0
tA(UGC)G	0	0	0	0	0	0	0	0	0	0	0	0
tA(UGC)L	0	0	0	0	0	0	0	0	0	0	0	0
tA(UGC)O	0	0	0	0	0	0	0	0	0	0	0	0
tA(UGC)Q	0	0	0	0	0	0	0	0	0	0	0	0
tC(GCA)B	0	0	0	0	0	0	0	0	0	0	0	0
tC(GCA)G	0	0	0	0	0	0	0	0	0	0	0	0
tC(GCA)P1	0	0	0	0	0	0	0	0	0	0	0	0
tC(GCA)P2	0	0	0	0	0	0	0	0	0	0	0	0
tC(GCA)Q	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)B	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)D	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)G1	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)G2	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)I1	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)I2	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)J1	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)J2	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)J3	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)J4	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)K	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)L1	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)L2	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)M	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)N	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)O	0	0	0	0	0	0	0	0	0	0	0	0
tD(GUC)Q	0	0	0	0	0	0	0	0	0	0	0	0
tE(CUC)D	0	0	0	0	0	0	0	0	0	0	0	0
tE(CUC)I	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)B	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)C	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)E1	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)E2	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)E3	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)G1	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)G2	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)G3	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)I	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)J	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)K	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)L	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)M	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)P	0	0	0	0	0	0	0	0	0	0	0	0
tE(UUC)Q	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)B	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)D	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)F	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)G	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)H1	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)H2	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)M	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)N	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)P1	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)P2	0	0	0	0	0	0	0	0	0	0	0	0
tF(GAA)Q	0	0	0	0	0	0	0	0	0	0	0	0
tG(CCC)D	0	0	0	0	0	0	0	0	0	0	0	0
tG(CCC)O	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)B	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)C	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)D1	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)D2	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)E	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)F1	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)F2	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)G1	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)G2	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)J1	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)J2	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)M	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)O1	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)O2	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)P1	0	0	0	0	0	0	0	0	0	0	0	0
tG(GCC)P2	0	0	0	0	0	0	0	0	0	0	0	0
tG(UCC)G	0	0	0	0	0	0	0	0	0	0	0	0
tG(UCC)N	0	0	0	0	0	0	0	0	0	0	0	0
tG(UCC)O	0	0	0	0	0	0	0	0	0	0	0	0
tG(UCC)Q	1	0	0	0	0	0	0	0	0	0	0	0
tH(GUG)E1	0	0	0	0	0	0	0	0	0	0	0	0
tH(GUG)E2	0	0	0	0	0	0	0	0	0	0	0	0
tH(GUG)G1	0	0	0	0	0	0	0	0	0	0	0	0
tH(GUG)G2	0	0	0	0	0	0	0	0	0	0	0	0
tH(GUG)H	0	0	0	0	0	0	0	0	0	0	0	0
tH(GUG)K	0	0	0	0	0	0	0	0	0	0	0	0
tH(GUG)M	0	0	0	0	0	0	0	0	0	0	0	0
tH(GUG)Q	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)B	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)D	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)E1	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)E2	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)G	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)I1	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)I2	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)L1	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)L2	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)N1	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)N2	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)P1	0	0	0	0	0	0	0	0	0	0	0	0
tI(AAU)P2	0	0	0	0	0	0	0	0	0	0	0	0
tI(GAU)Q	0	0	0	0	0	0	0	0	0	0	0	0
tI(UAU)D	0	0	0	0	0	0	0	0	0	0	0	0
tI(UAU)L	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)C	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)D1	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)D2	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)E1	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)E2	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)F	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)G1	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)G2	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)G3	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)I	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)J	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)K	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)M	0	0	0	0	0	0	0	0	0	0	0	0
tK(CUU)P	0	0	0	0	0	0	0	0	0	0	0	0
tK(UUU)D	0	0	0	0	0	0	0	0	0	0	0	0
tK(UUU)G1	0	0	0	0	0	0	0	0	0	0	0	0
tK(UUU)G2	0	0	0	0	0	0	0	0	0	0	0	0
tK(UUU)K	0	0	0	0	0	0	0	0	0	0	0	0
tK(UUU)L	0	0	0	0	0	0	0	0	0	0	0	0
tK(UUU)O	0	0	0	0	0	0	0	0	0	0	0	0
tK(UUU)P	0	0	0	0	0	0	0	0	0	0	0	0
tK(UUU)Q	0	0	0	0	0	0	0	0	0	0	0	0
tL(CAA)A	0	0	0	0	0	0	0	0	0	0	0	0
tL(CAA)C	0	0	0	0	0	0	0	0	0	0	0	0
tL(CAA)D	0	0	0	0	0	0	0	0	0	0	0	0
tL(CAA)G1	0	0	0	0	0	0	0	0	0	0	0	0
tL(CAA)G2	0	0	0	0	0	0	0	0	0	0	0	0
tL(CAA)G3	0	0	0	0	0	0	0	0	0	0	0	0
tL(CAA)K	0	0	0	0	0	0	0	0	0	0	0	0
tL(CAA)L	0	0	0	0	0	0	0	0	0	0	0	0
tL(CAA)M	0	0	0	0	0	0	0	0	0	0	0	0
tL(CAA)N	0	0	0	0	0	0	0	0	0	0	0	0
tL(GAG)G	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAA)B1	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAA)B2	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAA)D	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAA)J	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAA)K	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAA)L	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAA)N	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAA)Q	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAG)J	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAG)L1	0	0	0	0	0	0	0	0	0	0	0	0
tL(UAG)L2	0	0	0	0	0	0	0	0	0	0	0	0
TLC1	340	159	219	297	274	315	322	165	148	230	31	227
tM(CAU)C	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)D	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)E	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)J1	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)J2	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)J3	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)M	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)O1	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)O2	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)P	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)Q1	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)Q2	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)C	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)F	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)G	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)K	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)L	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)N1	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)N2	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)O1	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)O2	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)P	0	0	0	0	0	0	0	0	0	0	0	0
tN(GUU)Q	0	0	0	0	0	0	0	0	0	0	0	0
tP(AGG)C	0	0	0	0	0	0	0	0	0	0	0	0
tP(AGG)N	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)A	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)F	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)H	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)L	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)M	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)N1	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)N2	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)O1	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)O2	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)O3	0	0	0	0	0	0	0	0	0	0	0	0
tP(UGG)Q	0	0	0	0	0	0	0	0	0	0	0	0
tQ(CUG)M	0	0	0	0	0	0	0	0	0	0	0	0
tQ(UUG)B	0	0	0	0	0	0	0	0	0	0	0	0
tQ(UUG)C	0	0	0	0	0	0	0	0	0	0	0	0
tQ(UUG)D1	0	0	0	0	0	0	0	0	0	0	0	0
tQ(UUG)D2	0	0	0	0	0	0	0	0	0	0	0	0
tQ(UUG)D3	0	0	0	0	0	0	0	0	0	0	0	0
tQ(UUG)E1	0	0	0	0	0	0	0	0	0	0	0	0
tQ(UUG)E2	0	0	0	0	0	0	0	0	0	0	0	0
tQ(UUG)H	0	0	0	0	0	0	0	0	0	0	0	0
tQ(UUG)L	0	0	0	0	0	0	0	0	0	0	0	0
tQ(UUG)Q	0	0	0	0	0	0	0	0	0	0	0	0
tR(ACG)D	0	0	0	0	0	0	0	0	0	0	0	0
tR(ACG)E	0	0	0	0	0	0	0	0	0	0	0	0
tR(ACG)J	0	0	0	0	0	0	0	0	0	0	0	0
tR(ACG)K	0	0	0	0	0	0	0	0	0	0	0	0
tR(ACG)L	0	0	0	0	0	0	0	0	0	0	0	0
tR(ACG)O	0	0	0	0	0	0	0	0	0	0	0	0
tR(ACG)Q2	0	0	0	0	0	0	0	0	0	0	0	0
tR(CCG)L	0	0	0	0	0	0	0	0	0	0	0	0
tR(CCU)J	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)B	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)D	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)E	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)G1	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)G2	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)G3	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)J1	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)J2	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)K	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)M1	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)M2	0	0	0	0	0	0	0	0	0	0	0	0
tR(UCU)Q1	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)A	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)B	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)D1	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)D2	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)D3	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)E	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)G	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)H	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)J	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)L	0	0	0	0	0	0	0	0	0	0	0	0
tS(AGA)M	0	0	0	0	0	0	0	0	0	0	0	0
tS(CGA)C	0	0	0	0	0	0	0	0	0	0	0	0
tS(GCU)F	0	0	0	0	0	0	0	0	0	0	0	0
tS(GCU)L	0	0	0	0	0	0	0	0	0	0	0	0
tS(GCU)O	0	0	0	0	0	0	0	0	0	0	0	0
tS(GCU)Q1	0	0	0	0	0	0	0	0	0	0	0	0
tS(UGA)E	0	0	0	0	0	0	0	0	0	0	0	0
tS(UGA)I	0	0	0	0	0	0	0	0	0	0	0	0
tS(UGA)P	0	0	0	0	0	0	0	0	0	0	0	0
tS(UGA)Q2	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)B	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)C	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)D	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)H	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)I1	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)I2	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)J	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)N1	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)N2	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)O1	0	0	0	0	0	0	0	0	0	0	0	0
tT(AGU)O2	0	0	0	0	0	0	0	0	0	0	0	0
tT(CGU)K	0	0	0	0	0	0	0	0	0	0	0	0
tT(UGU)G1	0	0	0	0	0	0	0	0	0	0	0	0
tT(UGU)G2	0	0	0	0	0	0	0	0	0	0	0	0
tT(UGU)H	0	0	0	0	0	0	0	0	0	0	0	0
tT(UGU)P	0	0	0	0	0	0	0	0	0	0	0	0
tT(UGU)Q1	0	0	0	0	0	0	0	0	0	0	0	0
tT(XXX)Q2	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)E1	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)E2	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)G1	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)G2	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)G3	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)H	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)J	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)K1	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)K2	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)L	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)M1	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)M2	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)M3	0	0	0	0	0	0	0	0	0	0	0	0
tV(AAC)O	0	0	0	0	0	0	0	0	0	0	0	0
tV(CAC)D	0	0	0	0	0	0	0	0	0	0	0	0
tV(CAC)H	0	0	0	0	0	0	0	0	0	0	0	0
tV(UAC)B	0	0	0	0	0	0	0	0	0	0	0	0
tV(UAC)D	0	0	0	0	0	0	0	0	0	0	0	0
tV(UAC)Q	0	0	0	0	0	0	0	0	0	0	0	0
tW(CCA)G1	0	0	0	0	0	0	0	0	0	0	0	0
tW(CCA)G2	0	0	0	0	0	0	0	0	0	0	0	0
tW(CCA)J	0	0	0	0	0	0	0	0	0	0	0	0
tW(CCA)K	0	0	0	0	0	0	0	0	0	0	0	0
tW(CCA)M	0	0	0	0	0	0	0	0	0	0	0	0
tW(CCA)P	0	0	0	0	0	0	0	0	0	0	0	0
tW(UCA)Q	0	0	0	0	0	0	0	0	0	0	0	0
tX(XXX)D	0	0	0	0	0	0	0	0	0	0	0	0
